id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,label,cate
0,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,49690,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,6,4,0,0,1.63821E+12,1.63821E+12,119,2,120,1.63821E+12,1.63821E+12,0,1,66,1.63821E+12,1.63821E+12,0,1,54,54,60,8.485281374,66,66,66,0,66,54,54,0,54,119,119,0,119,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,HTTP,Web,1,1,,,,,,Attack,TCPFlood
1,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,49689,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,6,4,0,0,1.63821E+12,1.63821E+12,119,2,120,1.63821E+12,1.63821E+12,0,1,66,1.63821E+12,1.63821E+12,0,1,54,54,60,8.485281374,66,66,66,0,66,54,54,0,54,119,119,0,119,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,HTTP,Web,1,1,,,,,,Attack,TCPFlood
2,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,49718,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,6,4,0,0,1.63821E+12,1.63821E+12,75245,1039,1076482,1.63821E+12,1.63821E+12,70571,744,1053708,1.63821E+12,1.63821E+12,71623,295,22774,54,1036.075072,658.751916,1510,66,1416.274194,310.5199566,1510,54,77.2,8.428006438,94,0,72.49036609,471.8931051,8122,0,94.98115747,542.8704428,8122,0,243.6156463,1200.690674,17354,6,0,0,0,1026,44,10,1,3,0,0,0,741,44,0,0,3,0,0,0,285,0,10,1,HTTP,Web,1,1,,,,,,Attack,TCPFlood
3,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,49732,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,6,4,0,0,1.63821E+12,1.63821E+12,85881,329,358126,1.63821E+12,1.63821E+12,85881,248,351924,1.63821E+12,1.63821E+12,77582,81,6202,66,1088.528875,650.6099389,1510,66,1419.048387,341.4281,1510,66,76.56790123,7.957603709,94,0,261.8323171,785.8648555,6386,0,347.6963563,892.2947857,6386,0,969.775,1826.444183,11410,4,0,0,0,328,10,0,1,1,0,0,0,247,10,0,0,3,0,0,0,81,0,0,1,HTTP,Web,1,1,,,,,,Attack,TCPFlood
4,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,49739,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,6,4,0,0,1.63821E+12,1.63821E+12,73140,1022,1091692,1.63821E+12,1.63821E+12,72079,719,1067454,1.63821E+12,1.63821E+12,69991,303,24238,54,1068.191781,659.0874664,1510,66,1484.636996,178.6343438,1510,54,79.99339934,8.709435167,102,0,71.63565132,371.3296729,5051,0,100.3885794,452.3283675,5051,0,231.7582781,802.9290055,9752,3,0,0,0,1010,12,10,1,2,0,0,0,717,12,0,0,1,0,0,0,293,0,10,1,HTTP,Web,1,1,,,,,,Attack,TCPFlood
5,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,49746,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,6,4,0,0,1.63821E+12,1.63821E+12,70835,159,162858,1.63821E+12,1.63821E+12,69407,117,159554,1.63821E+12,1.63821E+12,70239,42,3304,54,1024.264151,658.9794224,1510,66,1363.709402,389.2295896,1510,54,78.66666667,7.897720161,86,0,448.3227848,1441.561676,11596,0,598.3362069,1764.014788,11596,0,1713.146341,3430.289904,16531,2,0,0,0,157,13,1,0,1,0,0,0,116,13,0,0,1,0,0,0,41,0,1,0,HTTP,Web,1,1,,,,,,Attack,TCPFlood
6,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,49753,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,6,4,0,0,1.63821E+12,1.63821E+12,71654,157,142254,1.63821E+12,1.63821E+12,69775,109,138774,1.63821E+12,1.63821E+12,69375,48,3480,54,906.0764331,658.970677,1510,66,1273.155963,427.051588,1510,54,72.5,10.58702538,86,0,459.3205128,1241.579182,7464,0,646.0648148,1470.401981,7464,0,1476.06383,3036.491643,15259,2,0,0,0,146,10,10,1,1,0,0,0,108,10,0,0,1,0,0,0,38,0,10,1,HTTP,Web,1,1,,,,,,Attack,TCPFlood
7,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,49760,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,6,4,0,0,1.63821E+12,1.63821E+12,73539,125,104150,1.63821E+12,1.63821E+12,70830,100,102316,1.63821E+12,1.63821E+12,72539,25,1834,62,833.2,625.7869368,1510,66,1023.16,555.2008777,1510,62,73.36,4.990657939,86,0,593.0564516,1797.316112,14012,0,715.4545455,1977.492812,14012,0,3022.458333,6273.942308,26768,2,0,0,0,123,36,1,1,1,0,0,0,99,36,0,0,1,0,0,0,24,0,1,1,HTTP,Web,1,1,,,,,,Attack,TCPFlood
8,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,49767,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,6,4,0,0,1.63821E+12,1.63821E+12,72422,229,216614,1.63821E+12,1.63821E+12,71481,158,211344,1.63821E+12,1.63821E+12,70643,71,5270,54,945.9126638,668.1204267,1510,66,1337.620253,387.5259532,1510,54,74.22535211,9.865085885,86,0,317.6403509,1059.74764,10552,0,455.2929936,1252.444979,10552,0,1009.185714,3048.907846,23046,4,0,0,0,221,10,7,0,1,0,0,0,157,10,0,0,3,0,0,0,64,0,7,0,HTTP,Web,1,1,,,,,,Attack,TCPFlood
9,0,192.168.137.5,f0:18:98:0c:aa:af,f0:18:98,49774,192.168.137.111,70:ee:50:68:0e:32,70:ee:50,80,6,4,0,0,1.63821E+12,1.63821E+12,79586,191,177946,1.63821E+12,1.63821E+12,77529,150,174852,1.63821E+12,1.63821E+12,75336,41,3094,54,931.6544503,571.3766441,1510,66,1165.68,399.2811043,1510,54,75.46341463,10.45967868,102,0,418.8736842,1551.876418,10720,0,520.3288591,1732.564594,10720,0,1883.4,4325.692995,19584,6,0,0,0,187,8,1,1,3,0,0,0,147,8,0,0,3,0,0,0,40,0,1,1,HTTP,Web,1,1,,,,,,Attack,TCPFlood
